Rank,Channel Name,Subscribers,Category,Views
1,MrBeast,409.0,Entertainment,109.84
2,T-Series,297.0,Music,0.73163
3,Cocomelon - Nursery Rhymes,194.0,Education,3.63
4,SET India,184.0,Entertainment,0.01828
5,Vlad and Niki,142.0,Entertainment,1.85
6,✿ Kids Diana Show,135.0,Entertainment,1.9
7,Like Nastya,128.0,Entertainment,4.56
8,Stokes Twins,127.0,People & Blogs,48.66
9,Zee Music Company,118.0,Music,0.50542
10,PewDiePie,110.0,Entertainment,1.99
11,김프로KIMPRO,110.0,People & Blogs,53.0
12,WWE,109.0,Sports,0.31833999999999996
13,Goldmines,105.0,Film & Animation,0.029589999999999998
14,Sony SAB,102.0,Entertainment,0.03453
15,BLACKPINK,97.0,Music,3.2
16,ChuChu TV Nursery Rhymes & Kids Songs,96.6,Education,0.64535
17,Alan's Universe,94.4,Entertainment,12.3
18,Zee TV,91.6,Entertainment,0.013630000000000001
19,A4,82.8,Entertainment,43.18
20,Baby Shark - Pinkfong Kids’ Songs & Stories,82.1,Education,0.79677
21,5-Minute Crafts,81.0,Howto & Style,0.09759000000000001
22,BANGTANTV,80.8,Music,1.42
23,Colors TV,80.5,Entertainment,436.0
24,ZAMZAM ELECTRONICS TRADING,78.3,People & Blogs,0.23861000000000002
25,HYBE LABELS,77.8,Music,2.12
26,T-Series Bhakti Sagar,76.9,Music,0.049229999999999996
27,Toys and Colors,76.7,Entertainment,3.74
28,Tips Official,76.5,Music,0.31010000000000004
29,UR · Cristiano,75.8,Sports,1.02
30,KL BRO Biju Rithvik,74.0,Entertainment,11.86
31,Aaj Tak,72.8,News & Politics,0.00824
32,Shemaroo Filmi Gaane,72.5,Music,0.0254
33,Infobells - Hindi,70.2,Education,0.34897
34,El Reino Infantil,69.4,Music,0.43571
35,Mark Rober,69.3,Science & Technology,16.07
36,Topper Guild,69.0,Entertainment,18.77
37,HAR PAL GEO,68.7,Entertainment,0.12372
38,Fede Vigevani,68.1,Entertainment,7.61
39,Canal KondZilla,67.8,Music,0.01809
40,Alejo Igoa,67.3,Entertainment,11.98
41,Sony Music India,66.3,Music,0.07720999999999999
42,YRF,66.2,Music,2.11
43,Wave Music,66.1,Music,0.11503000000000001
44,Movieclips,64.3,Film & Animation,0.01156
45,ARY Digital HD,63.7,Entertainment,0.00497
46,YOLO AVENTURAS,63.4,Entertainment,3.46
47,ISSEI / いっせい,62.9,Entertainment,8.93
48,Anaya Kandhal,61.5,Entertainment,6.36
49,Dude Perfect,61.3,Sports,17.87
50,Taylor Swift,61.1,Music,0.41008
51,LooLoo Kids - Nursery Rhymes and Children's Songs,60.3,Music,0.45866
52,Zhong,59.4,Entertainment,5.4
53,Shemaroo,59.0,Entertainment,0.25187
54,PANDA BOI,58.6,Comedy,3.11
55,Marshmello,58.0,Music,0.0674
56,Billion Surprise Toys,57.6,Entertainment,0.03767
57,Bispo Bruno Leonardo,57.5,Nonprofits & Activism,1.38
58,Ed Sheeran,57.5,Music,12.73
59,ToRung,57.4,Comedy,8.4
60,आचार्य प्रशान्त - Acharya Prashant,57.2,Education,0.20204
61,SonyMusicIndiaVEVO,56.8,Music,0.23455
62,Mikecrack,56.6,Gaming,2.05
63,Saregama Music,56.3,Music,0.25021
64,Маша и Медведь,56.3,Film & Animation,2.96
65,Ariana Grande,56.2,Music,0.12154000000000001
66,Billie Eilish,56.1,Music,1.15
67,StarPlus,55.9,Entertainment,0.00887
68,JioHotstar Kids,55.8,Entertainment,0.032299999999999995
69,Get Movies,55.7,Film & Animation,0.16958
70,Jess No Limit,54.2,Entertainment,0.044039999999999996
71,JuegaGerman,53.5,Gaming,3.92
72,Alfredo Larin,53.4,Entertainment,19.59
73,ABS-CBN Entertainment,52.9,Entertainment,0.01425
74,Real fools shorts official,52.7,People & Blogs,3.4
75,LUCCAS TOON - LUCCAS NETO,52.5,Entertainment,5.83
76,Masha and The Bear,51.8,Film & Animation,1.0
77,BETER BÖCÜK,51.7,Gaming,1.22
78,shfa,51.7,People & Blogs,5.95
79,HUM TV,51.1,Entertainment,0.023559999999999998
80,shfa2 - شفا,50.8,People & Blogs,0.97158
81,MrBeast 2,50.5,People & Blogs,3.98
82,Ishtar Music,50.5,Music,0.02247
83,Juan De Dios Pantoja,49.5,People & Blogs,10.94
84,Celine Dept,49.2,Sports,11.73
85,Fernanfloo,49.2,Gaming,1.98
86,Dangal TV Channel,49.2,Entertainment,0.7709600000000001
87,Dushyant kukreja,49.1,Entertainment,1.79
88,Ricis Official,48.7,Entertainment,0.11326
89,Shakira,48.5,Howto & Style,0.48929
90,ABP NEWS,48.5,News & Politics,0.00741
91,Maria Clara & JP,48.4,Entertainment,2.07
92,T-Series Bollywood Classics,48.3,Music,0.15678999999999998
93,MrBeast Gaming,48.1,Gaming,12.62
94,IndiaTV,48.0,News & Politics,0.00992
95,Badabun,47.6,News & Politics,0.0124
96,PowerKids TV,47.5,Film & Animation,0.1396
97,Felipe Neto,47.3,Entertainment,0.24092
98,Speed Records,47.1,Music,0.20862
99,Alan Walker,47.0,Music,0.2293
100,Goldmines Gaane Sune Ansune,47.0,Music,0.04271
